rank,pano_id,best_yaw,lng,lat,best_view_path,best_view_score,prompt_best,num_views,num_views_above_thresh
199,PUeqPsN7QOwgmsS5ArMk_A,270,9.1527455,45.4552888,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\PUeqPsN7QOwgmsS5ArMk_A_270.jpg,0.21655273,bench near the curb,4,1
200,lNtRHqcalC7Wtb9c9xP_xA,90,9.0746124,45.4972836,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\lNtRHqcalC7Wtb9c9xP_xA_090.jpg,0.21643066,bench near the curb,4,1
201,pGX4AUYZ9b1-GAB8KYK_jA,0,9.1392118,45.5147622,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pGX4AUYZ9b1-GAB8KYK_jA_000.jpg,0.21643066,public bench,4,1
202,SmppA19vB3zWALMkzIy1ug,90,9.178294012,45.51804432,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\SmppA19vB3zWALMkzIy1ug_090.jpg,0.21643066,street furniture benches,4,1
203,bo9TamVi0OCTf0Xrt0IVxw,90,9.176706243,45.47812157,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\bo9TamVi0OCTf0Xrt0IVxw_090.jpg,0.2163086,bench near the curb,4,1
204,F6lZMLPtymael1nTAtmySQ,90,9.207476862,45.48730633,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\F6lZMLPtymael1nTAtmySQ_090.jpg,0.2163086,benches on the sidewalk,4,1
205,SAwFSHFNwMQDybtn5Q97Ug,270,9.180542715,45.41479536,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\SAwFSHFNwMQDybtn5Q97Ug_270.jpg,0.2163086,bench near the curb,4,1
206,SqJiyIp82Ezj_AD3XpDPLg,90,9.211139073,45.52511595,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\SqJiyIp82Ezj_AD3XpDPLg_090.jpg,0.2163086,bench near the curb,4,1
207,CPx5L9QQFSblbbDOXW93yQ,180,9.13788803,45.4857419,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CPx5L9QQFSblbbDOXW93yQ_180.jpg,0.2163086,bench near the curb,4,1
208,kLrB2SRBRgfNgSKvfVNuuQ,90,9.146616451,45.49230479,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\kLrB2SRBRgfNgSKvfVNuuQ_090.jpg,0.21618652,bench near the curb,4,1
209,6gwR49f0WpFMRm9-5X5JnQ,90,9.177283134,45.42278709,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6gwR49f0WpFMRm9-5X5JnQ_090.jpg,0.21618652,bench near the curb,4,1
210,cRPUn5tImrPFYqC10nn6qw,90,9.126420802,45.51866992,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\cRPUn5tImrPFYqC10nn6qw_090.jpg,0.21618652,bench near the curb,4,1
211,lLc7Aexj1pAnBUjnuU5jMw,90,9.217259947,45.43719595,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\lLc7Aexj1pAnBUjnuU5jMw_090.jpg,0.21618652,street furniture benches,4,1
212,co7aGdotjirG7jIWaRXh4A,270,9.194237414,45.44789132,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\co7aGdotjirG7jIWaRXh4A_270.jpg,0.21606445,public bench,4,1
213,enmLsKdevmKp0o0DpFE-AA,90,9.204738256,45.50377836,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\enmLsKdevmKp0o0DpFE-AA_090.jpg,0.21606445,bench near the curb,4,1
214,NIeDQY2g9sTO3gukrwpuRw,270,9.2213649,45.4619969,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\NIeDQY2g9sTO3gukrwpuRw_270.jpg,0.21606445,benches along the street,4,1
215,VV_5Dx2sIuG5qX-s10s72A,180,9.191335872,45.46530721,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VV_5Dx2sIuG5qX-s10s72A_180.jpg,0.21606445,street benches,4,1
216,l9b_YVlAxPbpumtYSsDDCw,90,9.1812776,45.4828806,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\l9b_YVlAxPbpumtYSsDDCw_090.jpg,0.21606445,bench near the curb,4,1
217,N_u_PzYT4D1qpqCDyt_CIg,270,9.1299989,45.4999755,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\N_u_PzYT4D1qpqCDyt_CIg_270.jpg,0.21606445,public bench,4,1
