record_id,query_id,query_text,display_order,pano_id,best_yaw,image_path,image_file_name,web_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5,best_view_path
Q01_POOL_0044_R23G,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",57,96noJkCxyDlXf_N-iWKIkQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\96noJkCxyDlXf_N-iWKIkQ_090.jpg,96noJkCxyDlXf_N-iWKIkQ_090.jpg,images/96noJkCxyDlXf_N-iWKIkQ_090.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\96noJkCxyDlXf_N-iWKIkQ_090.jpg
Q01_POOL_0045_DPPQ,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",55,BM2nZjBPieUrdESpHgcweA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\BM2nZjBPieUrdESpHgcweA_090.jpg,BM2nZjBPieUrdESpHgcweA_090.jpg,images/BM2nZjBPieUrdESpHgcweA_090.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\BM2nZjBPieUrdESpHgcweA_090.jpg
Q01_POOL_0046_0Y9D,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",61,BoBnw0kE-hSCudCliTC6wg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\BoBnw0kE-hSCudCliTC6wg_090.jpg,BoBnw0kE-hSCudCliTC6wg_090.jpg,images/BoBnw0kE-hSCudCliTC6wg_090.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\BoBnw0kE-hSCudCliTC6wg_090.jpg
Q01_POOL_0047_OM5I,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",46,J6hUqFXCGf_pGvl10XPA8w,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\J6hUqFXCGf_pGvl10XPA8w_090.jpg,J6hUqFXCGf_pGvl10XPA8w_090.jpg,images/J6hUqFXCGf_pGvl10XPA8w_090.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\J6hUqFXCGf_pGvl10XPA8w_090.jpg
Q01_POOL_0048_GQPK,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",36,cuJEMUjZ8-CA_00sXAZ1SQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\cuJEMUjZ8-CA_00sXAZ1SQ_270.jpg,cuJEMUjZ8-CA_00sXAZ1SQ_270.jpg,images/cuJEMUjZ8-CA_00sXAZ1SQ_270.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\cuJEMUjZ8-CA_00sXAZ1SQ_270.jpg
Q01_POOL_0049_I7P5,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",29,g9nxvvlQpOrdLnpHkZ2zuw,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\g9nxvvlQpOrdLnpHkZ2zuw_270.jpg,g9nxvvlQpOrdLnpHkZ2zuw_270.jpg,images/g9nxvvlQpOrdLnpHkZ2zuw_270.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\g9nxvvlQpOrdLnpHkZ2zuw_270.jpg
Q01_POOL_0050_TB94,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",48,nMd4N0w6T5UapXxUSvRtDA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\nMd4N0w6T5UapXxUSvRtDA_090.jpg,nMd4N0w6T5UapXxUSvRtDA_090.jpg,images/nMd4N0w6T5UapXxUSvRtDA_090.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\nMd4N0w6T5UapXxUSvRtDA_090.jpg
Q01_POOL_0051_874F,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",11,om2LeLTpxiXMrdtLecW8-A,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\om2LeLTpxiXMrdtLecW8-A_270.jpg,om2LeLTpxiXMrdtLecW8-A_270.jpg,images/om2LeLTpxiXMrdtLecW8-A_270.jpg,0,0,1,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\om2LeLTpxiXMrdtLecW8-A_270.jpg
Q01_POOL_0052_RHOC,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",17,APY0g9qX0roKGCz_7UwUsg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\APY0g9qX0roKGCz_7UwUsg_090.jpg,APY0g9qX0roKGCz_7UwUsg_090.jpg,images/APY0g9qX0roKGCz_7UwUsg_090.jpg,0,0,0,1,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\APY0g9qX0roKGCz_7UwUsg_090.jpg
Q01_POOL_0053_N9J2,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",62,It8ZwslkDe5KUVqZh-oDcg,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\It8ZwslkDe5KUVqZh-oDcg_090.jpg,It8ZwslkDe5KUVqZh-oDcg_090.jpg,images/It8ZwslkDe5KUVqZh-oDcg_090.jpg,0,0,0,1,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\It8ZwslkDe5KUVqZh-oDcg_090.jpg
Q01_POOL_0054_QP89,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",9,Ngcu0CASS5gxStMzmfZEWA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Ngcu0CASS5gxStMzmfZEWA_270.jpg,Ngcu0CASS5gxStMzmfZEWA_270.jpg,images/Ngcu0CASS5gxStMzmfZEWA_270.jpg,0,0,0,1,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Ngcu0CASS5gxStMzmfZEWA_270.jpg
